City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
punta arenas,-53.15,-70.9167,48.2,61,75,21.85,CL,1611777800
hamilton,39.1834,-84.5333,34.0,69,90,8.05,US,1611777951
sistranda,63.7256,8.834,32.0,100,75,17.27,NO,1611777669
doha,25.2867,51.5333,64.4,63,0,1.14,QA,1611777666
carnarvon,-24.8667,113.6333,71.6,88,0,18.41,AU,1611777774
yaan,7.3833,8.5667,82.83,15,0,1.83,NG,1611777952
morgan city,29.6994,-91.2068,69.8,60,1,16.11,US,1611777952
sao filipe,14.8961,-24.4956,75.74,67,0,4.07,CV,1611777952
kodiak,57.79,-152.4072,32.0,80,90,3.51,US,1611777952
lebu,-37.6167,-73.65,61.23,68,100,10.96,CL,1611777952
upernavik,72.7868,-56.1549,-1.89,91,100,1.72,GL,1611777953
khatanga,71.9667,102.5,-29.58,80,0,7.34,RU,1611777953
kupino,54.3663,77.2981,22.03,98,94,9.06,RU,1611777953
santa fe,-31.6333,-60.7,97.0,33,15,4.0,AR,1611777953
arawa,-6.2132,155.5367,78.66,83,100,3.74,PG,1611777954
rikitea,-23.1203,-134.9692,79.79,75,78,14.29,PF,1611777954
mataura,-46.1927,168.8643,50.0,86,93,17.0,NZ,1611777725
faanui,-16.4833,-151.75,81.28,72,95,15.35,PF,1611777955
talnakh,69.4865,88.3972,-23.24,84,100,4.45,RU,1611777690
saint george,37.1041,-113.5841,41.0,52,90,16.11,US,1611777955
brainerd,46.358,-94.2008,7.0,51,90,3.11,US,1611777955
zambezi,-13.5432,23.1047,64.81,94,91,4.74,ZM,1611777956
bluff,-46.6,168.3333,50.0,86,100,17.0,NZ,1611777956
atuona,-9.8,-139.0333,78.44,78,1,15.03,PF,1611777956
mahebourg,-20.4081,57.7,75.2,83,20,4.61,MU,1611777956
jamestown,42.097,-79.2353,25.0,79,90,6.22,US,1611777956
san quintin,30.4833,-115.95,58.33,45,75,6.58,MX,1611777957
cape town,-33.9258,18.4232,66.99,68,0,17.27,ZA,1611777781
awjilah,29.1081,21.2869,51.01,57,0,9.28,LY,1611777957
eureka,40.8021,-124.1637,46.99,84,100,7.0,US,1611777957
ushuaia,-54.8,-68.3,42.8,81,75,26.46,AR,1611777895
pisco,-13.7,-76.2167,77.0,61,0,11.5,PE,1611777864
micheweni,-4.9667,39.8333,79.9,81,1,12.73,TZ,1611777958
antigonish,45.6169,-61.9986,32.0,76,84,4.0,CA,1611777958
ust-kuyga,70.0167,135.6,-41.89,79,93,1.1,RU,1611777958
peraiyur,9.7358,77.7896,75.2,73,36,2.3,IN,1611777958
